Tx Location x,Tx Location y,Tx Location z,Rx Location x,Rx Location y,Rx Location z,Jammer Location x,Jammer Location y,Jammer Location z (m),Tx - Rx Distance (m),J - Rx Distance (m),J - Tx Distance (m),Signal Power Before (V),Signal Power After (V),SNR Before (dB),SNR After (dB)
14,0,0,-50,-2,0,-1,-124,0,64.0312423743285,131.472430570063,124.903963107661,0.555301833629294,0.555180238713573,35.5451477863248,40.9452453280157
14,0,0,-48,-2,0,-1,-124,0,62.0322496770833,130.740200397582,124.903963107661,0.590673777793084,0.590564150529596,36.6740574012717,42.8354581811996
14,0,0,-46,-2,0,-1,-124,0,60.0333240792145,130.034610777285,124.903963107661,0.630423069325523,0.630370579168805,37.1137517034455,43.1558739750754
14,0,0,-44,-2,0,-1,-124,0,58.0344725141876,129.356097652952,124.903963107661,0.674798982361573,0.674763870833009,37.5837799873,43.535004756696
14,0,0,-42,-2,0,-1,-124,0,56.0357029044876,128.705089254466,124.903963107661,0.724137253259997,0.724100009659152,38.0495862810256,44.338470509855
14,0,0,-40,-2,0,-1,-124,0,54.0370243444252,128.082004981184,124.903963107661,0.778359756066986,0.778211406391355,38.9136082881575,44.418955123483
14,0,0,-38,-2,0,-1,-124,0,52.0384473250308,127.487254264887,124.903963107661,0.839072229450951,0.839279550660631,39.4074389659454,45.5726176611055
14,0,0,-36,-2,0,-1,-124,0,50.0399840127872,126.921235417876,124.903963107661,0.907535736530545,0.907635217291583,40.2939703300452,46.1880944433969
14,0,0,-34,-2,0,-1,-124,0,48.0416485978573,126.384334472275,124.903963107661,0.98416307291828,0.984085012144873,40.8209886650481,47.4143899603264
14,0,0,-32,-2,0,-1,-124,0,46.0434577328854,125.876924017073,124.903963107661,1.07092393403296,1.07087981054811,41.8197697708718,47.0277315680664
14,0,0,-30,-2,0,-1,-124,0,44.0454310910905,125.399362039845,124.903963107661,1.17013765623467,1.17004324979297,42.0860853803571,49.0282360236209
14,0,0,-28,-2,0,-1,-124,0,42.0475920832573,124.951990780459,124.903963107661,1.28417489812796,1.28412914313495,43.363963728026,49.2009452495692
14,0,0,-26,-2,0,-1,-124,0,40.0499687890016,124.535135604375,124.903963107661,1.41528395985767,1.41552455225339,43.6449673424094,50.670375774857
14,0,0,-24,-2,0,-1,-124,0,38.0525951808809,124.149103903331,124.903963107661,1.56703845435107,1.5670357748698,44.7497001275066,50.8397988123689
14,0,0,-22,-2,0,-1,-124,0,36.0555127546399,123.794184031399,124.903963107661,1.7450366784793,1.74540654176675,45.8139001957147,51.9061167683934
14,0,0,-20,-2,0,-1,-124,0,34.0587727318528,123.47064428438,124.903963107661,1.9539839077235,1.95358036783581,46.7712529795153,53.179632538441
14,0,0,-18,-2,0,-1,-124,0,32.0624390837628,123.178731930476,124.903963107661,2.2042637148072,2.20424681016428,47.804400260682,53.4934244723859
14,0,0,-16,-2,0,-1,-124,0,30.0665927567458,122.918672300021,124.903963107661,2.50487093637763,2.50527528164227,49.1682293237493,55.2199575479996
14,0,0,-14,-2,0,-1,-124,0,28.0713376952364,122.690667941779,124.903963107661,2.8712773482462,2.87097337264885,49.9923062776305,56.7589479139502
14,0,0,-12,-2,0,-1,-124,0,26.0768096208106,122.494897852931,124.903963107661,3.32315687856945,3.3229709418472,51.3849872893042,57.3007888400372
14,0,0,-10,-2,0,-1,-124,0,24.0831891575846,122.331516789419,124.903963107661,3.89130137218415,3.89099652253467,52.7263829503642,58.3252599205252
14,0,0,-8,-2,0,-1,-124,0,22.0907220343745,122.200654662731,124.903963107661,4.61746523519815,4.61637151680795,54.1348687352044,60.2893128988082
14,0,0,-6,-2,0,-1,-124,0,20.0997512422418,122.102416028513,124.903963107661,5.56587379183046,5.56311611595522,56.0894164127617,62.8813046458098
14,0,0,-2,2,0,-1,-124,0,16.1245154965971,126.003968191482,124.903963107661,8.59046729452279,8.58972908871664,59.7510972441991,65.7023635507239
14,0,0,-2,4,0,-1,-124,0,16.4924225024706,128.003906190397,124.903963107661,7.77000022768302,7.76979669219005,58.9205863311439,64.8774626249814
14,0,0,-2,6,0,-1,-124,0,17.0880074906351,130.003846096952,124.903963107661,6.64059784728853,6.64020101540809,57.5111204856465,64.3059521850426
14,0,0,-2,8,0,-1,-124,0,17.8885438199983,132.003787824441,124.903963107661,5.43023570513273,5.42992341370432,55.6984778805775,62.7647079675124
14,0,0,-2,10,0,-1,-124,0,18.8679622641132,134.003731291334,124.903963107661,4.30366373341344,4.3037629753058,53.6066521292897,60.168563429787
14,0,0,-2,12,0,-1,-124,0,20,136.003676420897,124.903963107661,3.34542427545376,3.34593213730519,51.6254016653753,57.4927710882463
14,0,0,-2,14,0,-1,-124,0,21.2602916254693,138.003623140844,124.903963107661,2.57426758436291,2.57418892948824,49.2118105462289,55.4787670042427
14,0,0,-2,16,0,-1,-124,0,22.6274169979695,140.003571383019,124.903963107661,1.97444561136178,1.97448825490053,47.2108875909648,53.1008727095846
14,0,0,-2,18,0,-1,-124,0,24.0831891575846,142.003521083106,124.903963107661,1.5169799718489,1.5168384082123,45.1071228290694,50.7212607345137
14,0,0,-2,20,0,-1,-124,0,25.6124969497314,144.003472180361,124.903963107661,1.17113604646592,1.17087315707066,42.3084042441263,48.0622777795962
14,0,0,-2,22,0,-1,-124,0,27.2029410174709,146.00342461737,124.903963107661,0.910210062046769,0.910259063886055,39.9531228372311,46.3624610996351
14,0,0,-2,24,0,-1,-124,0,28.8444102037119,148.00337833982,124.903963107661,0.713479264175969,0.713520315019174,38.5039261501811,43.849494088731
14,0,0,-2,26,0,-1,-124,0,30.5286750449475,150.003333296297,124.903963107661,0.563942421472747,0.563834270294069,36.0394419158016,42.4925867246847
14,0,0,-2,28,0,-1,-124,0,32.2490309931942,152.003289438091,124.903963107661,0.449803727127207,0.449732714081937,34.1787254538899,40.3621811895243
14,0,0,-2,30,0,-1,-124,0,34,154.003246719022,124.903963107661,0.361980922149076,0.361968688131209,32.330690584516,38.4088691409974
14,0,0,-2,32,0,-1,-124,0,35.7770876399966,156.00320509528,124.903963107661,0.293479325826094,0.293470163853184,30.2699652528473,36.0750489151566
14,0,0,-2,34,0,-1,-124,0,37.5765884561119,158.003164525271,124.903963107661,0.240583620274789,0.240526421569868,28.7734600626574,34.8387956709324
14,0,0,-2,36,0,-1,-124,0,39.3954312071844,160.003124969483,124.903963107661,0.198083686795229,0.198054147788049,27.0097680007852,33.1967583198075
14,0,0,-2,38,0,-1,-124,0,41.2310562561766,162.003086390352,124.903963107661,0.164714745053465,0.164649669975652,24.9654756892022,30.906887671051
14,0,0,-2,40,0,-1,-124,0,43.081318457076,164.00304875215,124.903963107661,0.137649188310098,0.137515919005356,23.9031817446748,29.7229109091454
14,0,0,-2,42,0,-1,-124,0,44.9444101084885,166.003012020867,124.903963107661,0.115105884306065,0.114992842002064,22.1467027623075,28.5342383831607
